Phi	Col1	Col2	Theta	Intensity
101.0	140384.0	141626.0	42.0	-0.00876941
104.0	140204.0	141626.0	42.0	-0.0100419
107.0	140353.0	141626.0	42.0	-0.00899358
110.0	141098.0	141626.0	42.0	-0.00372874
113.0	141079.0	141626.0	42.0	-0.00386405
116.0	141173.0	141626.0	42.0	-0.00320395
119.0	140448.0	141626.0	42.0	-0.00832274
122.0	140987.0	141626.0	42.0	-0.00451419
125.0	141360.0	141626.0	42.0	-0.0018786
128.0	142515.0	141626.0	42.0	0.00627532
131.0	143239.0	141626.0	42.0	0.0113847
41.0	143888.0	142512.0	45.0	0.00964994
44.0	143855.0	142512.0	45.0	0.00942171
47.0	142733.0	142512.0	45.0	0.00154785
50.0	141383.0	142512.0	45.0	-0.00792203
53.0	140477.0	142512.0	45.0	-0.0142841
56.0	140075.0	142512.0	45.0	-0.0171041
59.0	141166.0	142512.0	45.0	-0.0094452
62.0	142366.0	142512.0	45.0	-0.00103015
65.0	143562.0	142512.0	45.0	0.00736208
68.0	143846.0	142512.0	45.0	0.00935775
71.0	143852.0	142512.0	45.0	0.00939893
74.0	142698.0	142512.0	45.0	0.00130508
77.0	142032.0	142512.0	45.0	-0.00337005
80.0	141917.0	142512.0	45.0	-0.00417428
83.0	143729.0	142512.0	45.0	0.00853492
86.0	144190.0	142512.0	45.0	0.0117711
89.0	143900.0	142512.0	45.0	0.00973558
92.0	143293.0	142512.0	45.0	0.00547779
95.0	141604.0	142512.0	45.0	-0.00637019
98.0	141363.0	142512.0	45.0	-0.00806443
101.0	141347.0	142512.0	45.0	-0.00817687
104.0	142592.0	142512.0	45.0	0.000561581
107.0	142403.0	142512.0	45.0	-0.000767274
110.0	142472.0	142512.0	45.0	-0.000283734
113.0	142355.0	142512.0	45.0	-0.00110605
116.0	141710.0	142512.0	45.0	-0.00562796
119.0	141735.0	142512.0	45.0	-0.00545575
122.0	141926.0	142512.0	45.0	-0.00411546
125.0	143349.0	142512.0	45.0	0.00586802
128.0	143218.0	142512.0	45.0	0.00495222
131.0	142847.0	142512.0	45.0	0.0023497
41.0	142044.0	141421.0	48.0	0.00441067
44.0	141485.0	141421.0	48.0	0.000455715
47.0	141332.0	141421.0	48.0	-0.000627942
50.0	141446.0	141421.0	48.0	0.000176972
53.0	141372.0	141421.0	48.0	-0.000340991
56.0	141206.0	141421.0	48.0	-0.00151995
59.0	141194.0	141421.0	48.0	-0.00160105
62.0	141317.0	141421.0	48.0	-0.000731237
65.0	141221.0	141421.0	48.0	-0.00141011
68.0	141068.0	141421.0	48.0	-0.00249452
71.0	140382.0	141421.0	48.0	-0.00734068
74.0	140907.0	141421.0	48.0	-0.00363179
77.0	140896.0	141421.0	48.0	-0.00371203
80.0	141093.0	141421.0	48.0	-0.00231723
83.0	141467.0	141421.0	48.0	0.00032948
86.0	142575.0	141421.0	48.0	0.00816269
89.0	143744.0	141421.0	48.0	0.0164281
92.0	142764.0	141421.0	48.0	0.00950165
95.0	141628.0	141421.0	48.0	0.00146386
98.0	141347.0	141421.0	48.0	-0.00051703
101.0	141985.0	141421.0	48.0	0.00398994
104.0	141591.0	141421.0	48.0	0.00120355
107.0	141268.0	141421.0	48.0	-0.00107908
110.0	140384.0	141421.0	48.0	-0.00732833
113.0	140570.0	141421.0	48.0	-0.00601387
116.0	140391.0	141421.0	48.0	-0.00728235
119.0	140504.0	141421.0	48.0	-0.00648105
122.0	140406.0	141421.0	48.0	-0.00717277
125.0	141638.0	141421.0	48.0	0.00153587
128.0	142391.0	141421.0	48.0	0.00686382
131.0	142422.0	141421.0	48.0	0.00708453
41.0	140322.0	140234.0	51.0	0.000621446
44.0	140458.0	140234.0	51.0	0.00159128
47.0	140900.0	140234.0	51.0	0.00474539
50.0	140589.0	140234.0	51.0	0.00252491
53.0	140254.0	140234.0	51.0	0.000139326
56.0	139387.0	140234.0	51.0	-0.00604184
59.0	140253.0	140234.0	51.0	0.000133825
62.0	139894.0	140234.0	51.0	-0.00242587
65.0	140077.0	140234.0	51.0	-0.00112112
68.0	139456.0	140234.0	51.0	-0.00554891
71.0	139398.0	140234.0	51.0	-0.00596713
74.0	138806.0	140234.0	51.0	-0.0101896
77.0	138703.0	140234.0	51.0	-0.0109212
80.0	139897.0	140234.0	51.0	-0.00240929
83.0	141467.0	140234.0	51.0	0.00879242
