30.00	27.20	-0.070905
30.00	30.20	-0.038353
30.00	33.20	-0.040034
30.00	36.20	-0.066088
30.00	39.20	-0.016427
30.00	42.20	-0.054790
30.00	45.20	-0.032473
30.00	48.20	-0.045750
30.00	51.20	-0.104209
30.00	54.20	-0.153925
30.00	57.20	-0.114350
30.00	60.20	-0.078899
30.00	63.20	-0.030345
30.00	66.20	0.028136
30.00	69.20	0.032690
33.00	12.20	0.049904
33.00	15.20	-0.029239
33.00	18.20	-0.033113
33.00	21.20	-0.051881
33.00	24.20	-0.030687
33.00	27.20	-0.093827
33.00	30.20	-0.059160
33.00	33.20	-0.045509
33.00	36.20	-0.008642
33.00	39.20	0.024283
33.00	42.20	-0.028687
33.00	45.20	-0.024248
33.00	48.20	-0.043894
33.00	51.20	-0.099305
33.00	54.20	-0.165026
33.00	57.20	-0.113961
33.00	60.20	-0.071749
33.00	63.20	-0.023087
33.00	66.20	0.034813
33.00	69.20	0.077014
36.00	12.20	0.025587
36.00	15.20	-0.014710
36.00	18.20	-0.030454
36.00	21.20	-0.009491
36.00	24.20	-0.073184
36.00	27.20	-0.036936
36.00	30.20	-0.055162
36.00	33.20	-0.015295
36.00	36.20	0.029022
36.00	39.20	0.040534
36.00	42.20	0.014309
36.00	45.20	-0.005963
36.00	48.20	-0.027261
36.00	51.20	-0.072586
36.00	54.20	-0.114308
36.00	57.20	-0.088236
36.00	60.20	-0.056668
36.00	63.20	-0.026656
36.00	66.20	0.021361
36.00	69.20	0.060631
39.00	12.20	0.006680
39.00	15.20	-0.004669
39.00	18.20	0.000348
39.00	21.20	-0.025843
39.00	24.20	-0.100397
39.00	27.20	-0.012760
39.00	30.20	-0.003937
39.00	33.20	-0.006810
39.00	36.20	0.066376
39.00	39.20	0.091930
39.00	42.20	0.069023
39.00	45.20	0.025578
39.00	48.20	-0.044576
39.00	51.20	-0.024649
39.00	54.20	-0.062723
39.00	57.20	-0.064827
39.00	60.20	-0.019383
39.00	63.20	-0.018275
39.00	66.20	0.025650
39.00	69.20	0.028727
42.00	12.20	-0.027819
42.00	15.20	0.003565
42.00	18.20	0.049226
42.00	21.20	-0.023766
42.00	24.20	-0.074357
42.00	27.20	0.051126
42.00	30.20	-0.023348
42.00	33.20	0.041576
42.00	36.20	0.090984
42.00	39.20	0.100700
42.00	42.20	0.113722
42.00	45.20	0.081621
42.00	48.20	-0.025330
42.00	51.20	-0.040752
42.00	54.20	-0.057847
42.00	57.20	-0.029965
42.00	60.20	0.011078
42.00	63.20	-0.004174
42.00	66.20	0.013784
42.00	69.20	-0.002540
45.00	12.20	-0.021918
45.00	15.20	-0.004305
45.00	18.20	0.004427
45.00	21.20	-0.024796
45.00	24.20	-0.102588
45.00	27.20	0.053142
45.00	30.20	0.043419
45.00	33.20	0.055938
45.00	36.20	0.114108
45.00	39.20	0.147063
45.00	42.20	0.160791
45.00	45.20	0.129564
45.00	48.20	0.027286
45.00	51.20	-0.031064
45.00	54.20	-0.017806
45.00	57.20	0.026654
45.00	60.20	0.054078
45.00	63.20	0.122237
45.00	66.20	0.061759
45.00	69.20	-0.012940
48.00	12.20	-0.053796
48.00	15.20	-0.010749
48.00	18.20	0.036646
48.00	21.20	-0.030412
48.00	24.20	-0.030189
48.00	27.20	0.071534
48.00	30.20	0.072043
48.00	33.20	0.100434
48.00	36.20	0.125612
48.00	39.20	0.172066
48.00	42.20	0.200923
48.00	45.20	0.150633
48.00	48.20	0.024944
48.00	51.20	-0.021557
48.00	54.20	0.014990
48.00	57.20	0.078293
48.00	60.20	0.120958
48.00	63.20	0.167592
48.00	66.20	0.097666
48.00	69.20	-0.036001
51.00	12.20	-0.054454
51.00	15.20	-0.027767
51.00	18.20	0.008255
51.00	21.20	-0.012866
51.00	24.20	0.002496
51.00	27.20	0.039962
51.00	30.20	0.119467
51.00	33.20	0.076194
51.00	36.20	0.106389
51.00	39.20	0.188523
51.00	42.20	0.246167
51.00	45.20	0.170719
51.00	48.20	0.013939
51.00	51.20	-0.020822
51.00	54.20	0.038025
51.00	57.20	0.109054
51.00	60.20	0.149247
51.00	63.20	0.241590
51.00	66.20	0.147701
51.00	69.20	-0.011447
54.00	12.20	-0.021413
54.00	15.20	-0.064007
54.00	18.20	-0.023567
54.00	21.20	0.059221
54.00	24.20	0.026260
54.00	27.20	-0.021928
54.00	30.20	0.082907
54.00	33.20	0.090317
54.00	36.20	0.098852
54.00	39.20	0.193301
54.00	42.20	0.240734
54.00	45.20	0.168116
54.00	48.20	0.041636
54.00	51.20	-0.026150
54.00	54.20	0.029346
54.00	57.20	0.119984
54.00	60.20	0.185949
54.00	63.20	0.235237
54.00	66.20	0.122589
54.00	69.20	-0.009588
57.00	12.20	-0.025978
57.00	15.20	-0.086055
57.00	18.20	-0.082609
57.00	21.20	0.090555
57.00	24.20	0.022300
57.00	27.20	-0.016193
57.00	30.20	0.071672
57.00	33.20	0.095535
57.00	36.20	0.094919
57.00	39.20	0.190487
57.00	42.20	0.215922
57.00	45.20	0.149941
57.00	48.20	0.059521
57.00	51.20	0.004519
57.00	54.20	0.038767
57.00	57.20	0.130489
57.00	60.20	0.167469
57.00	63.20	0.244991
57.00	66.20	0.123395
57.00	69.20	-0.026510
60.00	12.20	-0.048723
60.00	15.20	-0.078639
60.00	18.20	-0.074676
60.00	21.20	0.058268
60.00	24.20	0.014429
60.00	27.20	-0.015608
60.00	30.20	0.047164
60.00	33.20	0.075595
60.00	36.20	0.081948
60.00	39.20	0.157518
60.00	42.20	0.186027
60.00	45.20	0.078291
60.00	48.20	0.034606
60.00	51.20	0.019967
60.00	54.20	0.050973
60.00	57.20	0.096491
60.00	60.20	0.151638
60.00	63.20	0.156832
60.00	66.20	0.105301
60.00	69.20	0.012803
63.00	12.20	-0.047087
63.00	15.20	-0.091560
63.00	18.20	-0.109692
63.00	21.20	0.005609
63.00	24.20	0.038930
63.00	27.20	-0.052396
63.00	30.20	0.014417
63.00	33.20	0.068703
63.00	36.20	0.073344
63.00	39.20	0.148567
63.00	42.20	0.155055
63.00	45.20	0.080053
63.00	48.20	0.055997
63.00	51.20	0.069404
63.00	54.20	0.063806
63.00	57.20	0.047155
63.00	60.20	0.128892
63.00	63.20	0.138844
63.00	66.20	0.123159
63.00	69.20	0.097592
66.00	12.20	-0.057766
66.00	15.20	-0.105858
66.00	18.20	-0.113426
66.00	21.20	-0.017382
66.00	24.20	-0.008441
66.00	27.20	-0.057223
66.00	30.20	0.017049
66.00	33.20	0.078542
66.00	36.20	0.077714
66.00	39.20	0.122222
66.00	42.20	0.091557
66.00	45.20	0.050642
66.00	48.20	0.044806
66.00	51.20	0.079244
66.00	54.20	0.032948
66.00	57.20	0.036272
66.00	60.20	0.116861
66.00	63.20	0.112943
66.00	66.20	0.149683
66.00	69.20	0.166110
69.00	12.20	-0.083375
69.00	15.20	-0.090510
69.00	18.20	-0.143954
69.00	21.20	-0.078184
69.00	24.20	-0.023466
69.00	27.20	-0.019666
69.00	30.20	0.004327
69.00	33.20	0.057539
69.00	36.20	0.059323
69.00	39.20	0.077879
69.00	42.20	0.063444
69.00	45.20	0.044390
69.00	48.20	0.032804
69.00	51.20	0.060156
69.00	54.20	0.061573
69.00	57.20	0.057416
69.00	60.20	0.074652
69.00	63.20	0.126977
69.00	66.20	0.184373
