Phi,Col1,Col2,Theta,Intensity,IsOriginal
0.0,40285.3,36944.6,15.0,0.077703275,True
3.0,47163.9,36944.6,15.0,0.05229307500000003,True
6.0,45024.4,36944.6,15.0,0.11659015,True
9.0,44993.3,36944.6,15.0,0.08099315000000001,True
12.0,42540.8,36944.6,15.0,0.023140700000000018,True
15.0,48381.1,36944.6,15.0,0.14841044999999997,True
18.0,43152.9,36944.6,15.0,0.07630875000000001,True
21.0,39211.6,36944.6,15.0,0.03406927499999998,True
24.0,37336.8,36944.6,15.0,-0.029159050000000002,True
27.0,35473.8,36944.6,15.0,-0.09061649999999999,True
30.0,41623.9,36944.6,15.0,-0.10822239999999998,True
33.0,35237.3,36944.6,15.0,-0.03282292499999998,True
36.0,35876.5,36944.6,15.0,0.024264625,True
39.0,35594.5,36944.6,15.0,-0.043240150000000005,True
42.0,39443.0,36944.6,15.0,-0.01568762500000005,True
45.0,39046.3,36944.6,15.0,-0.023451725000000003,True
48.0,32842.4,36944.6,15.0,-0.04312985000000002,True
51.0,33038.0,36944.6,15.0,-0.03409400000000003,True
54.0,31484.1,36944.6,15.0,-0.028224975000000003,True
57.0,36571.9,36944.6,15.0,-0.043221500000000024,True
60.0,30008.4,36944.6,15.0,-0.02076107500000001,True
63.0,30370.8,36944.6,15.0,-0.005731175000000015,True
66.0,32897.5,36944.6,15.0,-0.030022449999999996,True
69.0,24559.1,36944.6,15.0,-0.16791265,True
72.0,29720.0,36944.6,15.0,-0.03377554999999999,True
75.0,33517.4,36944.6,15.0,-0.094311175,True
78.0,31139.0,36944.6,15.0,-0.03451269999999999,True
81.0,33172.7,36944.6,15.0,0.03358435,True
84.0,39090.3,36944.6,15.0,-0.0032186499999999896,True
87.0,40418.1,36944.6,15.0,0.21564930000000004,True
90.0,40208.9,36944.6,15.0,0.07770327499999999,True
93.0,35629.5,36944.6,15.0,0.05229307500000002,True
96.0,37481.8,36944.6,15.0,0.11659014999999999,True
99.0,37565.6,36944.6,15.0,0.08099315000000003,True
102.0,37028.2,36944.6,15.0,0.023140700000000007,True
105.0,40075.1,36944.6,15.0,0.14841044999999997,True
108.0,35286.3,36944.6,15.0,0.07630875000000001,True
111.0,27173.3,36944.6,15.0,0.03406927499999998,True
114.0,29863.9,36944.6,15.0,-0.029159050000000006,True
117.0,23208.3,36944.6,15.0,-0.09061649999999997,True
120.0,26109.4,36944.6,15.0,-0.1082224,True
123.0,31183.9,36944.6,15.0,-0.03282292500000003,True
126.0,32258.8,36944.6,15.0,0.024264624999999995,True
129.0,33112.4,36944.6,15.0,-0.04324015,True
132.0,32718.1,36944.6,15.0,-0.015687625000000045,True
135.0,31612.9,36944.6,15.0,-0.023451724999999982,True
138.0,32556.2,36944.6,15.0,-0.04312985000000001,True
141.0,37158.0,36944.6,15.0,-0.03409399999999995,True
144.0,33928.6,36944.6,15.0,-0.02822497500000001,True
147.0,30401.3,36944.6,15.0,-0.04322150000000003,True
150.0,41332.3,36944.6,15.0,-0.020761075000000004,True
153.0,39922.1,36944.6,15.0,-0.005731175000000003,True
156.0,34678.8,36944.6,15.0,-0.030022450000000006,True
159.0,30337.8,36944.6,15.0,-0.16791265,True
162.0,36549.5,36944.6,15.0,-0.03377554999999998,True
165.0,31864.4,36944.6,15.0,-0.094311175,True
168.0,34197.4,36944.6,15.0,-0.034512699999999986,True
171.0,35592.2,36944.6,15.0,0.03358435000000003,True
174.0,33075.6,36944.6,15.0,-0.0032186500000000004,True
177.0,41930.8,36944.6,15.0,0.21564930000000002,True
180.0,42884.7,36944.6,15.0,0.077703275,True
183.0,37967.3,36944.6,15.0,0.052293075000000015,True
186.0,46631.5,36944.6,15.0,0.11659015,True
189.0,39537.1,36944.6,15.0,0.08099315000000003,True
192.0,39629.9,36944.6,15.0,0.02314070000000002,True
195.0,41572.8,36944.6,15.0,0.14841045000000003,True
198.0,41892.4,36944.6,15.0,0.07630875000000001,True
201.0,45064.3,36944.6,15.0,0.034069275,True
204.0,37908.8,36944.6,15.0,-0.029159049999999978,True
207.0,42641.5,36944.6,15.0,-0.09061649999999996,True
210.0,36826.1,36944.6,15.0,-0.1082224,True
213.0,38557.5,36944.6,15.0,-0.032822925000000024,True
216.0,42336.1,36944.6,15.0,0.024264624999999998,True
219.0,36730.2,36944.6,15.0,-0.043240150000000005,True
222.0,40160.9,36944.6,15.0,-0.015687625000000042,True
225.0,38971.5,36944.6,15.0,-0.023451724999999972,True
228.0,39327.6,36944.6,15.0,-0.043129850000000004,True
231.0,38605.2,36944.6,15.0,-0.03409400000000003,True
234.0,38531.0,36944.6,15.0,-0.028224975000000003,True
237.0,36905.0,36944.6,15.0,-0.043221500000000024,True
240.0,32682.7,36944.6,15.0,-0.02076107500000002,True
243.0,35601.8,36944.6,15.0,-0.005731174999999994,True
246.0,39287.4,36944.6,15.0,-0.03002245,True
249.0,34904.8,36944.6,15.0,-0.16791264999999997,True
252.0,35666.1,36944.6,15.0,-0.033775549999999994,True
255.0,33145.7,36944.6,15.0,-0.09431117499999996,True
258.0,35046.3,36944.6,15.0,-0.03451270000000001,True
261.0,40441.4,36944.6,15.0,0.03358435000000002,True
264.0,37729.0,36944.6,15.0,-0.003218649999999984,True
267.0,45521.7,36944.6,15.0,0.21564930000000004,True
270.0,40254.4,36944.6,15.0,0.077703275,True
273.0,40230.5,36944.6,15.0,0.052293075000000036,True
276.0,40313.1,36944.6,15.0,0.11659014999999998,True
279.0,41827.9,36944.6,15.0,0.08099315,True
282.0,35081.0,36944.6,15.0,0.02314070000000002,True
285.0,43158.9,36944.6,15.0,0.14841044999999997,True
288.0,41705.7,36944.6,15.0,0.07630875000000001,True
291.0,44710.7,36944.6,15.0,0.034069274999999996,True
294.0,40657.6,36944.6,15.0,-0.029159049999999992,True
297.0,35368.0,36944.6,15.0,-0.09061649999999999,True
300.0,28705.5,36944.6,15.0,-0.10822239999999998,True
303.0,39036.3,36944.6,15.0,-0.03282292500000002,True
306.0,41855.0,36944.6,15.0,0.02426462500000001,True
309.0,36102.3,36944.6,15.0,-0.043240150000000005,True
312.0,33035.1,36944.6,15.0,-0.015687625000000042,True
315.0,34382.1,36944.6,15.0,-0.023451724999999975,True
318.0,36197.4,36944.6,15.0,-0.04312984999999999,True
321.0,32728.7,36944.6,15.0,-0.03409400000000003,True
324.0,38605.6,36944.6,15.0,-0.028224975000000006,True
327.0,36085.9,36944.6,15.0,-0.04322150000000001,True
330.0,38330.4,36944.6,15.0,-0.020761075000000014,True
333.0,38631.8,36944.6,15.0,-0.005731175000000007,True
336.0,34205.4,36944.6,15.0,-0.03002245000000001,True
339.0,31200.0,36944.6,15.0,-0.16791265,True
342.0,37742.2,36944.6,15.0,-0.03377554999999998,True
345.0,31874.7,36944.6,15.0,-0.09431117499999997,True
348.0,38330.3,36944.6,15.0,-0.0345127,True
351.0,39197.0,36944.6,15.0,0.03358435000000001,True
354.0,32545.6,36944.6,15.0,-0.003218649999999997,True
357.0,45290.4,36944.6,15.0,0.21564930000000004,True
0.0,50226.3,43777.6,18.0,0.1442285,True
3.0,40282.8,43777.6,18.0,0.057357075000000014,True
6.0,61495.9,43777.6,18.0,0.162210125,True
9.0,53627.3,43777.6,18.0,0.054771850000000004,True
12.0,40068.0,43777.6,18.0,0.09968605000000001,True
15.0,56040.7,43777.6,18.0,0.09200887500000002,True
18.0,38508.2,43777.6,18.0,0.01148,True
21.0,55862.4,43777.6,18.0,0.007020649999999995,True
24.0,47565.3,43777.6,18.0,0.05361357499999998,True
27.0,37408.1,43777.6,18.0,-0.01264477500000003,True
30.0,41886.0,43777.6,18.0,-0.06279195000000001,True
33.0,34281.7,43777.6,18.0,-0.048454575000000014,True
36.0,49936.8,43777.6,18.0,0.007131600000000008,True
39.0,36114.5,43777.6,18.0,-0.10886777499999999,True
42.0,36273.9,43777.6,18.0,-0.03830414999999999,True
45.0,52373.4,43777.6,18.0,0.042595225,True
48.0,50136.7,43777.6,18.0,0.0431024,True
51.0,26953.7,43777.6,18.0,-0.11010017500000001,True
54.0,43409.1,43777.6,18.0,0.11328527500000003,True
57.0,26721.9,43777.6,18.0,-0.086703925,True
60.0,34416.9,43777.6,18.0,-0.013970950000000008,True
63.0,26035.8,43777.6,18.0,-0.05776694999999999,True
66.0,32190.3,43777.6,18.0,-0.14453679999999997,True
69.0,33012.5,43777.6,18.0,-0.08229929999999996,True
72.0,28807.5,43777.6,18.0,-0.16551297499999998,True
75.0,29100.5,43777.6,18.0,-0.026110025000000012,True
78.0,31116.4,43777.6,18.0,-0.04247035000000001,True
81.0,33863.4,43777.6,18.0,-0.04125337500000002,True
84.0,38779.9,43777.6,18.0,0.06002117499999998,True
87.0,44778.5,43777.6,18.0,0.0853521,True
90.0,46625.5,43777.6,18.0,0.14422850000000004,True
93.0,36312.5,43777.6,18.0,0.057357075,True
96.0,48890.2,43777.6,18.0,0.162210125,True
99.0,36704.7,43777.6,18.0,0.05477185000000001,True
102.0,48110.3,43777.6,18.0,0.09968604999999997,True
105.0,37513.6,43777.6,18.0,0.09200887499999999,True
108.0,43345.5,43777.6,18.0,0.011479999999999994,True
111.0,31265.8,43777.6,18.0,0.007020649999999991,True
114.0,34978.5,43777.6,18.0,0.05361357499999999,True
117.0,38578.0,43777.6,18.0,-0.012644775000000023,True
120.0,33772.6,43777.6,18.0,-0.06279194999999999,True
123.0,45048.2,43777.6,18.0,-0.048454575000000014,True
126.0,34674.0,43777.6,18.0,0.007131599999999978,True
129.0,25666.0,43777.6,18.0,-0.10886777499999999,True
132.0,40119.0,43777.6,18.0,-0.038304149999999995,True
135.0,38427.2,43777.6,18.0,0.04259522499999999,True
138.0,41277.6,43777.6,18.0,0.0431024,True
141.0,38774.8,43777.6,18.0,-0.11010017500000001,True
144.0,55676.4,43777.6,18.0,0.11328527500000002,True
147.0,36045.3,43777.6,18.0,-0.086703925,True
150.0,44736.1,43777.6,18.0,-0.013970950000000008,True
153.0,40353.6,43777.6,18.0,-0.057766949999999984,True
156.0,33759.7,43777.6,18.0,-0.14453679999999997,True
159.0,34692.2,43777.6,18.0,-0.08229929999999999,True
162.0,32218.8,43777.6,18.0,-0.165512975,True
165.0,49708.4,43777.6,18.0,-0.026110025,True
168.0,41862.0,43777.6,18.0,-0.04247035,True
171.0,38741.1,43777.6,18.0,-0.04125337500000002,True
174.0,47420.8,43777.6,18.0,0.06002117499999998,True
177.0,43110.7,43777.6,18.0,0.08535209999999999,True
180.0,57743.1,43777.6,18.0,0.1442285,True
183.0,62808.4,43777.6,18.0,0.057357075000000014,True
186.0,51542.2,43777.6,18.0,0.16221012499999998,True
189.0,51137.6,43777.6,18.0,0.054771850000000004,True
192.0,58330.5,43777.6,18.0,0.09968604999999997,True
195.0,53769.0,43777.6,18.0,0.09200887499999999,True
198.0,46930.8,43777.6,18.0,0.011480000000000016,True
201.0,46482.9,43777.6,18.0,0.007020650000000002,True
204.0,61229.2,43777.6,18.0,0.053613575000000004,True
207.0,50868.2,43777.6,18.0,-0.01264477500000002,True
210.0,46630.0,43777.6,18.0,-0.06279194999999999,True
213.0,44906.4,43777.6,18.0,-0.048454575,True
216.0,47564.1,43777.6,18.0,0.007131600000000001,True
219.0,49811.2,43777.6,18.0,-0.10886777500000001,True
222.0,46398.6,43777.6,18.0,-0.03830414999999998,True
225.0,43616.2,43777.6,18.0,0.042595224999999994,True
228.0,44316.2,43777.6,18.0,0.0431024,True
231.0,45878.7,43777.6,18.0,-0.11010017500000004,True
234.0,49998.0,43777.6,18.0,0.11328527500000005,True
237.0,50707.2,43777.6,18.0,-0.08670392499999999,True
240.0,51171.3,43777.6,18.0,-0.013970950000000008,True
243.0,49197.2,43777.6,18.0,-0.05776694999999999,True
246.0,39351.1,43777.6,18.0,-0.14453679999999997,True
249.0,46118.5,43777.6,18.0,-0.08229929999999995,True
252.0,40393.1,43777.6,18.0,-0.16551297499999998,True
255.0,43891.5,43777.6,18.0,-0.026110025000000002,True
258.0,48137.0,43777.6,18.0,-0.04247035,True
261.0,48315.4,43777.6,18.0,-0.041253375000000016,True
264.0,48315.4,43777.6,18.0,0.06002117499999997,True
267.0,42594.5,43777.6,18.0,0.0853521,True
270.0,48540.3,43777.6,18.0,0.1442285,True
273.0,48906.0,43777.6,18.0,0.057357075000000014,True
276.0,43591.1,43777.6,18.0,0.162210125,True
279.0,46335.5,43777.6,18.0,0.054771850000000004,True
282.0,46894.3,43777.6,18.0,0.09968605,True
285.0,46273.3,43777.6,18.0,0.09200887500000003,True
288.0,49505.9,43777.6,18.0,0.011479999999999994,True
291.0,44810.5,43777.6,18.0,0.007020650000000008,True
294.0,42342.8,43777.6,18.0,0.05361357499999998,True
297.0,47291.0,43777.6,18.0,-0.012644775000000016,True
