 theta   phi  intensity
  15.0 321.0    34603.2
  15.0 324.0    41800.4
  15.0 327.0    40767.7
  15.0 330.0    42733.2
  15.0 333.0    38858.0
  15.0 336.0    38810.8
  15.0 339.0    33495.2
  15.0 342.0    40324.0
  15.0 345.0    33182.6
  15.0 348.0    39983.1
  15.0 351.0    42184.4
  15.0 354.0    30885.2
  15.0 357.0    49499.4
  18.0   0.0    52037.4
  18.0   3.0    43696.4
  18.0   6.0    68560.4
  18.0   9.0    62466.2
  18.0  12.0    43820.0
  18.0  15.0    62470.0
  18.0  18.0    42885.8
  18.0  21.0    56358.7
  18.0  24.0    53093.1
  18.0  27.0    38430.2
  18.0  30.0    44400.4
  18.0  33.0    39811.4
  18.0  36.0    59726.2
  18.0  39.0    40138.7
  18.0  42.0    36366.4
  18.0  45.0    53939.0
  18.0  48.0    51873.4
  18.0  51.0    32200.5
  18.0  54.0    45306.8
  18.0  57.0    28255.9
  18.0  60.0    41821.8
  18.0  63.0    28912.7
  18.0  66.0    35953.2
  18.0  69.0    36613.8
  18.0  72.0    29998.2
  18.0  75.0    31515.8
  18.0  78.0    34980.7
  18.0  81.0    37380.9
  18.0  84.0    41244.5
  18.0  87.0    50645.2
  18.0  90.0    52277.3
  18.0  93.0    43485.5
  18.0  96.0    59079.3
  18.0  99.0    36412.6
  18.0 102.0    50250.4
  18.0 105.0    43846.6
  18.0 108.0    45063.2
  18.0 111.0    35638.8
  18.0 114.0    34845.3
  18.0 117.0    42457.0
  18.0 120.0    37850.7
  18.0 123.0    49394.7
  18.0 126.0    36424.9
  18.0 129.0    22508.9
  18.0 132.0    39507.1
  18.0 135.0    38354.6
  18.0 138.0    44174.8
  18.0 141.0    41323.2
  18.0 144.0    59035.2
  18.0 147.0    38621.5
  18.0 150.0    46990.1
  18.0 153.0    45017.6
  18.0 156.0    35994.4
  18.0 159.0    39259.8
  18.0 162.0    34444.5
  18.0 165.0    52470.7
  18.0 168.0    49469.5
  18.0 171.0    41429.8
  18.0 174.0    48409.5
  18.0 177.0    45449.3
  18.0 180.0    59769.9
  18.0 183.0    70324.1
  18.0 186.0    60760.2
  18.0 189.0    53888.8
  18.0 192.0    59335.8
  18.0 195.0    66362.8
  18.0 198.0    46524.4
  18.0 201.0    48840.9
  18.0 204.0    65516.1
  18.0 207.0    55659.5
  18.0 210.0    46835.8
  18.0 213.0    48052.4
  18.0 216.0    51059.4
  18.0 219.0    52634.8
  18.0 222.0    51919.5
  18.0 225.0    43380.8
  18.0 228.0    46892.1
  18.0 231.0    48579.6
  18.0 234.0    55580.8
  18.0 237.0    57071.7
  18.0 240.0    56468.7
  18.0 243.0    52142.3
  18.0 246.0    40344.8
  18.0 249.0    49138.1
  18.0 252.0    43392.8
  18.0 255.0    46277.5
  18.0 258.0    49465.6
  18.0 261.0    54887.6
  18.0 264.0    54887.6
  18.0 267.0    43843.7
  18.0 270.0    50671.5
  18.0 273.0    51623.4
  18.0 276.0    43028.8
  18.0 279.0    49986.1
  18.0 282.0    48376.0
  18.0 285.0    49758.4
  18.0 288.0    52718.1
  18.0 291.0    44779.7
  18.0 294.0    42531.0
  18.0 297.0    55402.7
  18.0 300.0    46869.3
  18.0 303.0    43122.9
  18.0 306.0    46075.4
  18.0 309.0    48972.7
  18.0 312.0    50789.3
  18.0 315.0    51183.2
  18.0 318.0    46924.0
  18.0 321.0    53094.6
  18.0 324.0    47700.5
  18.0 327.0    53171.3
  18.0 330.0    43194.9
  18.0 333.0    54732.9
  18.0 336.0    48848.6
  18.0 339.0    49959.2
  18.0 342.0    43903.5
  18.0 345.0    49235.1
  18.0 348.0    45959.6
  18.0 351.0    48204.6
  18.0 354.0    49539.2
  18.0 357.0    58168.3
  21.0   0.0    66380.1
  21.0   3.0    63728.8
  21.0   6.0    68338.3
  21.0   9.0    59297.8
  21.0  12.0    44268.3
  21.0  15.0    41583.2
  21.0  18.0    58598.5
  21.0  21.0    53165.1
  21.0  24.0    41005.4
  21.0  27.0    35873.5
  21.0  30.0    32139.8
  21.0  33.0    41429.1
  21.0  36.0    56616.1
  21.0  39.0    42478.0
  21.0  42.0    45134.6
  21.0  45.0    37000.5
  21.0  48.0    44449.5
  21.0  51.0    46798.7
  21.0  54.0    46798.7
  21.0  57.0    39494.3
  21.0  60.0    38081.6
  21.0  63.0    51661.6
  21.0  66.0    32359.6
  21.0  69.0    32359.6
  21.0  72.0    30569.0
  21.0  75.0    36572.8
  21.0  78.0    40579.6
  21.0  81.0    42109.6
  21.0  84.0    34267.9
  21.0  87.0    46830.4
  21.0  90.0    33437.2
  21.0  93.0    65159.5
  21.0  96.0    49465.1
  21.0  99.0    49142.3
  21.0 102.0    43311.2
  21.0 105.0    49507.0
  21.0 108.0    46736.5
  21.0 111.0    40593.4
  21.0 114.0    29641.3
  21.0 117.0    30549.7
  21.0 120.0    31908.2
  21.0 123.0    43032.6
  21.0 126.0    37376.3
  21.0 129.0    43116.3
  21.0 132.0    46124.3
  21.0 135.0    48460.4
  21.0 138.0    54685.2
  21.0 141.0    40690.5
  21.0 144.0    51423.5
  21.0 147.0    55657.5
  21.0 150.0    43750.5
  21.0 153.0    43750.5
  21.0 156.0    43750.5
  21.0 159.0    38280.9
  21.0 162.0    42752.6
  21.0 165.0    42538.2
  21.0 168.0    38922.9
  21.0 171.0    50947.1
  21.0 174.0    50947.1
  21.0 177.0    50947.1
  21.0 180.0    56429.8
  21.0 183.0    59542.8
  21.0 186.0    56984.0
  21.0 189.0    57566.9
  21.0 192.0    53229.2
  21.0 195.0    56741.3
  21.0 198.0    64045.2
  21.0 201.0    55189.6
  21.0 204.0    52946.7
  21.0 207.0    53676.0
  21.0 210.0    54984.9
  21.0 213.0    57416.0
  21.0 216.0    52783.9
  21.0 219.0    65194.3
  21.0 222.0    53375.1
  21.0 225.0    55979.2
  21.0 228.0    51467.2
  21.0 231.0    61500.8
  21.0 234.0    57155.1
  21.0 237.0    56413.0
  21.0 240.0    78791.6
  21.0 243.0    58047.0
  21.0 246.0    64282.8
  21.0 249.0    53346.2
  21.0 252.0    71319.7
  21.0 255.0    51670.7
  21.0 258.0    49348.1
  21.0 261.0    51312.6
  21.0 264.0    57563.8
  21.0 267.0    54336.3
  21.0 270.0    45557.1
  21.0 273.0    61753.2
  21.0 276.0    53299.9
  21.0 279.0    73320.5
  21.0 282.0    58283.9
  21.0 285.0    69441.0
  21.0 288.0    38477.8
  21.0 291.0    57159.8
  21.0 294.0    55369.9
  21.0 297.0    43992.6
  21.0 300.0    43110.5
  21.0 303.0    36040.0
  21.0 306.0    62396.4
  21.0 309.0    58299.0
  21.0 312.0    68149.1
  21.0 315.0    56959.5
  21.0 318.0    61114.5
  21.0 321.0    66408.6
  21.0 324.0    58007.6
  21.0 327.0    53792.4
  21.0 330.0    65071.5
  21.0 333.0    53451.9
  21.0 336.0    40234.2
  21.0 339.0    53050.6
  21.0 342.0    49319.2
  21.0 345.0    50101.0
  21.0 348.0    49146.0
  21.0 351.0    66698.9
  21.0 354.0    39389.0
  21.0 357.0    51050.6
  24.0   0.0    63765.4
  24.0   3.0    95670.9
  24.0   6.0    53157.1
  24.0   9.0    49218.4
  24.0  12.0    51692.2
  24.0  15.0    40233.3
  24.0  18.0    49124.9
  24.0  21.0    44589.1
  24.0  24.0    57095.6
  24.0  27.0    57095.6
  24.0  30.0    44731.3
  24.0  33.0    49766.5
  24.0  36.0    48616.7
  24.0  39.0   213175.9
  24.0  42.0    53523.7
  24.0  45.0    33763.2
  24.0  48.0    41216.5
  24.0  51.0    48245.0
  24.0  54.0    48751.5
  24.0  57.0    40660.9
  24.0  60.0    36731.2
  24.0  63.0    41558.7
  24.0  66.0    43479.1
  24.0  69.0    55488.9
  24.0  72.0    29438.6
  24.0  75.0    38218.2
  24.0  78.0    24125.8
  24.0  81.0    41307.9
  24.0  84.0    30905.8
  24.0  87.0    58449.3
  24.0  90.0    47314.5
  24.0  93.0    40654.6
  24.0  96.0    45949.5
  24.0  99.0    58413.3
  24.0 102.0    53970.3
  24.0 105.0    57808.6
  24.0 108.0    27603.4
  24.0 111.0    29979.1
  24.0 114.0    36800.9
  24.0 117.0    27936.5
  24.0 120.0    33344.2
  24.0 123.0    35400.8
  24.0 126.0    33972.5
  24.0 129.0    37126.1
  24.0 132.0    43989.7
  24.0 135.0    43756.4
  24.0 138.0    44730.4
  24.0 141.0    42375.4
  24.0 144.0    57440.5
  24.0 147.0    45216.3
  24.0 150.0    33962.6
  24.0 153.0    56223.9
  24.0 156.0    43307.5
  24.0 159.0    46532.5
  24.0 162.0    38003.8
  24.0 165.0    39342.8
  24.0 168.0    37734.9
  24.0 171.0    55695.0
  24.0 174.0    53497.4
  24.0 177.0    44471.3
  24.0 180.0    58186.1
  24.0 183.0    56535.1
  24.0 186.0    62394.5
  24.0 189.0    52571.3
  24.0 192.0    55195.6
  24.0 195.0    63053.9
  24.0 198.0    53012.6
  24.0 201.0    36223.7
  24.0 204.0    49437.4
  24.0 207.0    59082.3
  24.0 210.0    50022.1
  24.0 213.0    53329.5
  24.0 216.0    51050.2
  24.0 219.0    41057.3
  24.0 222.0    47481.9
  24.0 225.0    56451.0
  24.0 228.0    57378.4
  24.0 231.0    50380.2
  24.0 234.0    55240.5
  24.0 237.0    61974.4
  24.0 240.0    58610.5
  24.0 243.0    59441.4
  24.0 246.0    52950.8
  24.0 249.0    53401.4
  24.0 252.0    51643.2
  24.0 255.0    49220.7
  24.0 258.0    55146.7
  24.0 261.0    55146.7
  24.0 264.0    51526.1
  24.0 267.0    50974.8
  24.0 270.0    59273.6
  24.0 273.0    79162.6
  24.0 276.0    68451.6
  24.0 279.0    73908.7
  24.0 282.0    56785.7
  24.0 285.0    63955.2
  24.0 288.0    60242.2
  24.0 291.0    70057.3
  24.0 294.0    59177.2
  24.0 297.0    37662.5
  24.0 300.0    51269.0
  24.0 303.0    56726.0
  24.0 306.0    64625.2
  24.0 309.0    51844.6
  24.0 312.0    57461.4
  24.0 315.0    55332.9
  24.0 318.0    42304.1
  24.0 321.0    61033.7
