 theta   phi  intensity
  15.0 321.0    32155.6
  15.0 324.0    35585.6
  15.0 327.0    32171.7
  15.0 330.0    35188.7
  15.0 333.0    36904.2
  15.0 336.0    31040.6
  15.0 339.0    30452.5
  15.0 342.0    35821.7
  15.0 345.0    30777.3
  15.0 348.0    37468.7
  15.0 351.0    36867.7
  15.0 354.0    34126.5
  15.0 357.0    41888.3
  18.0   0.0    49676.2
  18.0   3.0    41370.4
  18.0   6.0    55563.6
  18.0   9.0    46737.5
  18.0  12.0    36771.9
  18.0  15.0    51407.1
  18.0  18.0    35546.9
  18.0  21.0    53249.3
  18.0  24.0    40982.4
  18.0  27.0    35974.7
  18.0  30.0    38291.9
  18.0  33.0    29853.6
  18.0  36.0    41551.4
  18.0  39.0    32190.8
  18.0  42.0    38688.3
  18.0  45.0    48822.8
  18.0  48.0    47774.7
  18.0  51.0    24062.0
  18.0  54.0    40357.8
  18.0  57.0    26138.4
  18.0  60.0    30248.0
  18.0  63.0    27603.9
  18.0  66.0    28956.1
  18.0  69.0    29883.1
  18.0  72.0    31762.8
  18.0  75.0    27024.6
  18.0  78.0    28953.0
  18.0  81.0    30674.7
  18.0  84.0    34469.4
  18.0  87.0    39467.9
  18.0  90.0    42049.8
  18.0  93.0    31242.9
  18.0  96.0    42083.2
  18.0  99.0    39379.7
  18.0 102.0    45433.7
  18.0 105.0    33798.0
  18.0 108.0    41866.8
  18.0 111.0    29601.1
  18.0 114.0    33955.2
  18.0 117.0    35187.1
  18.0 120.0    31111.4
  18.0 123.0    39718.5
  18.0 126.0    35305.7
  18.0 129.0    30386.3
  18.0 132.0    39886.0
  18.0 135.0    38021.7
  18.0 138.0    39034.5
  18.0 141.0    38583.3
  18.0 144.0    53205.9
  18.0 147.0    33799.2
  18.0 150.0    41126.7
  18.0 153.0    36942.5
  18.0 156.0    32990.5
  18.0 159.0    32866.3
  18.0 162.0    31356.0
  18.0 165.0    45821.2
  18.0 168.0    35376.2
  18.0 171.0    36901.1
  18.0 174.0    45087.7
  18.0 177.0    42308.6
  18.0 180.0    53860.5
  18.0 183.0    57588.9
  18.0 186.0    45084.2
  18.0 189.0    47192.8
  18.0 192.0    55431.0
  18.0 195.0    46875.0
  18.0 198.0    48178.2
  18.0 201.0    43098.0
  18.0 204.0    56207.5
  18.0 207.0    46713.7
  18.0 210.0    44630.7
  18.0 213.0    42725.4
  18.0 216.0    44392.8
  18.0 219.0    45861.9
  18.0 222.0    43123.3
  18.0 225.0    42439.3
  18.0 228.0    43257.6
  18.0 231.0    43393.4
  18.0 234.0    47410.4
  18.0 237.0    45349.1
  18.0 240.0    47194.6
  18.0 243.0    44825.7
  18.0 246.0    38792.9
  18.0 249.0    44074.0
  18.0 252.0    37305.6
  18.0 255.0    40676.7
  18.0 258.0    44822.3
  18.0 261.0    44249.6
  18.0 264.0    44249.6
  18.0 267.0    41346.4
  18.0 270.0    45297.6
  18.0 273.0    45485.2
  18.0 276.0    43589.6
  18.0 279.0    42674.2
  18.0 282.0    45008.9
  18.0 285.0    42598.4
  18.0 288.0    46581.5
  18.0 291.0    43315.1
  18.0 294.0    41214.8
  18.0 297.0    40636.6
  18.0 300.0    39034.4
  18.0 303.0    40251.0
  18.0 306.0    42573.1
  18.0 309.0    43965.3
  18.0 312.0    41695.7
  18.0 315.0    42731.3
  18.0 318.0    44121.9
  18.0 321.0    38755.5
  18.0 324.0    41118.3
  18.0 327.0    36952.6
  18.0 330.0    39010.6
  18.0 333.0    43312.2
  18.0 336.0    38699.7
  18.0 339.0    42227.6
  18.0 342.0    41409.7
  18.0 345.0    41274.3
  18.0 348.0    43615.5
  18.0 351.0    41806.5
  18.0 354.0    44301.1
  18.0 357.0    49416.9
  21.0   0.0    58166.4
  21.0   3.0    53671.7
